Edicao,Acum Gols Visitante,Vitorias Visitante,Senioridade Casa,Senioridade Visitante,Casa,Visitante,Rodada
2021,0.0,0.0,5.0,4.0,Boca Juniors,Santos,Semifinais
2021,0.0,0.0,6.0,5.0,River Plate,Palmeiras,Semifinais
2021,0.0,0.0,4.0,5.0,Santos,Boca Juniors,Semifinais
2021,0.0,0.0,5.0,6.0,Palmeiras,River Plate,Semifinais
2021,0.0,0.0,5.0,4.0,Palmeiras,Santos,Final
2021,0.0,0.0,2.0,3.0,Dep Táchira,Olimpia,Fase de Grupos
2021,0.0,0.0,1.0,3.0,Always Ready,Internacional,Fase de Grupos
2021,0.0,0.0,4.0,3.0,Santos,Barcelona SC,Fase de Grupos
2021,0.0,0.0,1.0,7.0,Argentinos Jun,Nacional,Fase de Grupos
2021,0.0,0.0,1.0,5.0,Dep La Guaira,Atlético Mineiro,Fase de Grupos
2021,0.0,0.0,5.0,5.0,The Strongest,Boca Juniors,Fase de Grupos
2021,0.0,0.0,5.0,3.0,Sporting Cristal,São Paulo,Fase de Grupos
2021,0.0,0.0,1.0,5.0,Vélez Sarsf,Flamengo,Fase de Grupos
2021,3.0,1.0,2.0,5.0,Universitario,Palmeiras,Fase de Grupos
2021,2.0,1.0,1.0,6.0,Fluminense,River Plate,Fase de Grupos
2021,0.0,0.0,6.0,1.0,Independiente,Defensa y Just,Fase de Grupos
2021,0.0,0.0,1.0,4.0,Rentistas,Racing Club,Fase de Grupos
2021,0.0,0.0,1.0,5.0,CD América,Cerro Porteño,Fase de Grupos
2021,0.0,0.0,1.0,3.0,La Calera,LDU de Quito,Fase de Grupos
2021,0.0,0.0,7.0,3.0,Nacional,Univ Católica,Fase de Grupos
2021,0.0,0.0,3.0,5.0,Junior,Santa Fe,Fase de Grupos
2021,0.0,0.0,3.0,1.0,LDU de Quito,Vélez Sarsf,Fase de Grupos
2021,0.0,0.0,5.0,1.0,Atlético Mineiro,CD América,Fase de Grupos
2021,0.0,0.0,5.0,1.0,Flamengo,La Calera,Fase de Grupos
2021,0.0,0.0,5.0,1.0,Cerro Porteño,Dep La Guaira,Fase de Grupos
2021,0.0,0.0,7.0,7.0,Nacional,Nacional,Fase de Grupos
2021,0.0,0.0,1.0,2.0,Defensa y Just,Universitario,Fase de Grupos
2021,0.0,0.0,3.0,2.0,Internacional,Dep Táchira,Fase de Grupos
2021,0.0,0.0,5.0,4.0,Boca Juniors,Santos,Fase de Grupos
2021,0.0,0.0,5.0,6.0,Palmeiras,Independiente,Fase de Grupos
2021,0.0,0.0,3.0,1.0,Univ Católica,Argentinos Jun,Fase de Grupos
2021,0.0,0.0,4.0,5.0,Racing Club,Sporting Cristal,Fase de Grupos
2021,0.0,0.0,5.0,1.0,Santa Fe,Fluminense,Fase de Grupos
2021,0.0,0.0,6.0,3.0,River Plate,Junior,Fase de Grupos
2021,0.0,0.0,3.0,5.0,Barcelona SC,The Strongest,Fase de Grupos
2021,0.0,0.0,3.0,1.0,Olimpia,Always Ready,Fase de Grupos
2021,0.0,0.0,3.0,1.0,São Paulo,Rentistas,Fase de Grupos
2021,1.0,0.0,1.0,1.0,La Calera,Vélez Sarsf,Fase de Grupos
2021,2.0,1.0,5.0,5.0,Atlético Mineiro,Cerro Porteño,Fase de Grupos
2021,0.0,0.0,4.0,5.0,Santos,The Strongest,Fase de Grupos
2021,0.0,0.0,6.0,2.0,Independiente,Universitario,Fase de Grupos
2021,3.0,1.0,4.0,3.0,Racing Club,São Paulo,Fase de Grupos
